,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ABCC6,0.82448524,0.13168755,-0.0130522335,0.39119014,-0.006762449,-0.011142473,-0.004641597,-0.0023832351,-0.0012313378,1.3778466,0.05115036,-0.011938451,0.840385,0.9953796,0.72292423,0.86843157
ABCD1,0.32629216,0.2397419,-0.014745566,0.615373,-0.005752226,-0.012468618,-0.00014175869,0.27135992,-0.0012744477,1.4626133,0.37061256,-0.013199978,1.0825039,1.2695966,0.86673677,0.23990211
ABCD2,0.067378625,0.34376374,-0.015418267,0.41606444,-0.009227505,-0.01744152,0.46133226,0.63577956,0.4462368,1.4622474,0.35804448,-0.016987877,1.2521936,1.5886388,0.3411644,-0.0035194112
ABCD4,-0.018744005,5.4049425,-0.046023507,-0.03277812,-0.046792414,-0.05490324,5.228784,5.4243026,7.0375657,6.467381,1.8020698,-0.07135166,5.1674514,5.9399333,-0.01865762,-0.039501674
ABCF2,-0.023295714,5.554488,-0.05553392,-0.037569206,-0.044675536,-0.06468113,6.2092333,5.82904,7.901224,6.9056463,2.5198076,-0.08504572,6.4356036,7.392391,-0.02647006,-0.04925273
ABCF3,-0.023286339,5.5547433,-0.055528697,-0.03758022,-0.044683244,-0.0646836,6.2099895,5.8288765,7.901136,6.9059033,2.5191154,-0.08503544,6.4346976,7.3915744,-0.026475305,-0.049254406
ABCG1,0.14600086,0.25539464,-0.016384035,0.74531186,-0.0059938454,-0.015596285,0.04617791,0.51320934,-0.00025417833,1.5813242,0.43274862,-0.014893368,1.3424121,1.519923,0.8010126,0.009526506
ABHD1,0.7547806,0.19258493,-0.013845977,0.4762331,-0.00761236,-0.011836066,-0.0034806423,0.0058386587,-0.0017689615,1.5128511,0.04255943,-0.014088784,0.9337465,1.0906687,0.83264655,0.6695028
ABHD11,0.22557521,0.22098495,-0.014537271,0.58331984,-0.0073096883,-0.014531555,-0.0009999952,0.46408522,-9.777292e-05,1.6842892,0.26542473,-0.015508205,1.2406657,1.33994,0.77873856,0.15192357
ABHD12,-0.023295714,5.554488,-0.05553392,-0.037569206,-0.044675536,-0.06468113,6.2092333,5.82904,7.901224,6.9056463,2.5198076,-0.08504572,6.4356036,7.392391,-0.02647006,-0.04925273
ABHD14A,-0.023562783,5.539763,-0.05528924,-0.037342053,-0.04488321,-0.0649454,6.1720405,5.829091,7.893731,6.907824,2.4922526,-0.08490799,6.408463,7.3678823,-0.02632383,-0.049389105
ABHD14B,0.2152124,0.20365614,-0.015060903,0.6687842,-0.007254284,-0.015819356,-0.00036658367,0.4352976,0.020823136,1.6828842,0.28948367,-0.016037177,1.3629513,1.4502337,0.7718495,0.07947283
ABHD15,0.027440181,0.27382866,-0.015775757,0.6336539,-0.00738997,-0.016595578,0.14820167,0.64086723,0.1407291,1.7623035,0.40446812,-0.016433252,1.4394944,1.5594409,0.7247352,-0.0010619094
ABHD17A,-0.0044285054,0.43572843,-0.016608164,0.39230686,-0.0068298187,-0.017316505,0.5925081,1.0377959,0.4477469,1.7579447,0.5867992,-0.016233014,1.4800278,1.7116185,0.44029284,-0.0053577702
ABHD17B,0.18039173,0.32801598,-0.016437575,0.4368046,-0.008321058,-0.01507915,0.12020661,0.6234002,0.14081115,1.8063962,0.29961646,-0.017262721,1.2898246,1.5164893,0.72796935,0.08297507
ABHD17C,0.87423503,0.1487287,-0.012907147,0.36374608,-0.0072659664,-0.010871316,-0.004555192,-0.0024106414,-0.0013011792,1.3683043,-0.00016882956,-0.012517889,0.8143116,0.9647791,0.7437384,0.87646806
ABHD2,-0.0048608016,0.6300273,-0.01645639,0.39586914,-0.0056011844,-0.016838383,0.7112494,1.1282256,0.49420485,1.5611627,0.6529419,-0.014587681,1.4059334,1.6824789,0.2576912,-0.0065019624
ABHD3,-0.023344167,5.5483804,-0.055553015,-0.03755013,-0.04480938,-0.064610116,6.2210684,5.8207088,7.9162374,6.905842,2.520179,-0.085165836,6.4500003,7.388645,-0.026390783,-0.049312327
ABHD4,0.84172684,0.16435738,-0.01329927,0.4866558,-0.006953145,-0.011262188,-0.0045592897,-0.0014518532,-0.0021540374,1.4406296,0.010661826,-0.012927428,0.88666654,0.9640384,0.84459656,0.7972654
ABHD5,-0.010281682,1.6854131,-0.022729725,-0.005161603,-0.010013045,-0.02523174,1.8419485,2.0604427,2.073657,2.4573283,0.9200777,-0.025568902,2.330512,2.741846,-0.008039193,-0.015218956
ABHD6,0.393521,0.19359647,-0.014793422,0.63322484,-0.007430073,-0.014649163,-0.0011888507,0.3106532,-0.00078190706,1.6477773,0.23946364,-0.015721103,1.1959894,1.3551522,0.84202355,0.26293308
ABI2,-0.0029178977,0.3770406,-0.0102624735,0.1940621,-0.007477425,-0.015286524,0.3599618,0.8397909,0.643836,1.4680922,0.47199374,-0.012844699,1.1139122,1.1332742,0.057465386,-0.005000389
ABI3,-0.023295714,5.554488,-0.05553392,-0.037569206,-0.044675536,-0.06468113,6.2092333,5.82904,7.901224,6.9056463,2.5198076,-0.08504572,6.4356036,7.392391,-0.02647006,-0.04925273
ABLIM1,-0.023295714,5.554488,-0.05553392,-0.037569206,-0.044675536,-0.06468113,6.2092333,5.82904,7.901224,6.9056463,2.5198076,-0.08504572,6.4356036,7.392391,-0.02647006,-0.04925273
ABLIM3,0.63522416,0.11747333,-0.0132721765,0.5982387,-0.005656275,-0.012368252,-0.003845777,-0.0007958879,-0.0017622318,1.4643084,0.16476253,-0.0127661405,1.0045247,1.0968026,0.8349618,0.6413443
ABO,0.854705,0.12797602,-0.013009312,0.52864546,-0.006568864,-0.011073019,-0.004930733,-0.0019390993,-0.0025743172,1.3933923,0.012882948,-0.012665985,0.8667555,0.9587041,0.8681197,0.81123304
ABR,0.037552778,0.29537237,-0.016034981,0.5528071,-0.0075489446,-0.016265344,0.2165405,0.5737485,0.19590041,1.7592598,0.3814795,-0.016312828,1.429747,1.539885,0.7347079,-0.0005052208
